job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,90376,,SE,CT,,,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,07-11-2024,1076,5.9,
AI00002,AI Software Engineer,61895,,EN,CT,,,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,11-01-2025,1268,5.2,
AI00003,AI Specialist,152626,,MI,FL,,,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,07-04-2025,1974,9.4,
AI00004,NLP Engineer,80215,,SE,FL,,,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,24-02-2025,1345,8.6,
AI00005,AI Consultant,54624,,EN,PT,,,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,23-06-2025,1989,6.6,
AI00006,AI Architect,123574,,SE,CT,,,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,04-10-2024,819,5.9,
AI00007,Principal Data Scientist,79670,,MI,FL,,,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,28-02-2025,1936,6.3,
AI00008,NLP Engineer,70640,,EN,FL,,,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-07-06,01-07-2024,1286,7.6,
AI00009,Data Analyst,160710,,SE,CT,,,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-04-11,24-11-2024,551,9.3,
AI00010,AI Software Engineer,102557,,SE,PT,,,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,06-11-2024,2340,5.8,
AI00011,Autonomous Systems Engineer,102322,,SE,PT,,,Sweden,100,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,05-03-2025,1047,9.9,
